X:/Grocery stores/Grocery_products/Training//Food/Cereals/99.jpg,[-145, 747],[318, 747],[318, 1451],[-145, 1451],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/117.jpg,[-5, 1703],[358, 1703],[358, 2335],[-5, 2335],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/94.jpg,[1006, 1653],[1502, 1653],[1502, 2328],[1006, 2328],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/92.jpg,[1430, 632],[1908, 632],[1908, 1436],[1430, 1436],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/94.jpg,[1522, 1583],[1945, 1583],[1945, 2193],[1522, 2193],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/92.jpg,[1935, 644],[2374, 644],[2374, 1464],[1935, 1464],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/94.jpg,[2033, 1673],[2484, 1673],[2484, 2328],[2033, 2328],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/87.jpg,[2603, 1598],[3024, 1598],[3024, 2338],[2603, 2338],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/90.jpg,[2613, 662],[3069, 662],[3069, 1459],[2613, 1459],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/87.jpg,[3049, 1613],[3430, 1613],[3430, 2358],[3049, 2358],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/92.jpg,[441, 640],[946, 640],[946, 1404],[441, 1404],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/117.jpg,[625, 1608],[1031, 1608],[1031, 2121],[625, 2121],
X:/Grocery stores/Grocery_products/Training//Food/Cereals/92.jpg,[891, 602],[1422, 602],[1422, 1446],[891, 1446],
