X:/Grocery stores/Grocery_products/Training//Food/Tea/80.jpg,[-83, 1912],[638, 1912],[638, 2363],[-83, 2363],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[1417, 527],[2386, 527],[2386, 1133],[1417, 1133],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[1422, -35],[2446, -35],[2446, 495],[1422, 495],
X:/Grocery stores/Grocery_products/Training//Food/Tea/55.jpg,[1572, 2029],[2439, 2029],[2439, 2490],[1572, 2490],
X:/Grocery stores/Grocery_products/Training//Food/Tea/55.jpg,[1632, 1441],[2476, 1441],[2476, 2007],[1632, 2007],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[2381, 535],[3281, 535],[3281, 1133],[2381, 1133],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[2444, -70],[3333, -70],[3333, 483],[2444, 483],
X:/Grocery stores/Grocery_products/Training//Food/Tea/55.jpg,[2464, 2049],[3301, 2049],[3301, 2500],[2464, 2500],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[398, 495],[1372, 495],[1372, 1133],[398, 1133],
X:/Grocery stores/Grocery_products/Training//Food/Tea/55.jpg,[632, 2052],[1569, 2052],[1569, 2522],[632, 2522],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[715, 59],[1422, 59],[1422, 537],[715, 537],
X:/Grocery stores/Grocery_products/Training//Food/Tea/55.jpg,[764, 1421],[1632, 1421],[1632, 1954],[764, 1954],
