X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/13.jpg,[-82, 322],[336, 322],[336, 861],[-82, 861],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/21.jpg,[1049, 1727],[1490, 1727],[1490, 2368],[1049, 2368],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/21.jpg,[1059, 2419],[1504, 2419],[1504, 3192],[1059, 3192],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/96.jpg,[1147, 895],[1490, 895],[1490, 1458],[1147, 1458],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/96.jpg,[1164, 318],[1490, 318],[1490, 865],[1164, 865],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/21.jpg,[1497, 1713],[1972, 1713],[1972, 2405],[1497, 2405],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/21.jpg,[1507, 2425],[1989, 2425],[1989, 3206],[1507, 3206],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/96.jpg,[1521, 871],[1901, 871],[1901, 1462],[1521, 1462],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/96.jpg,[1531, 566],[1802, 566],[1802, 878],[1531, 878],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/18.jpg,[1816, 556],[2234, 556],[2234, 953],[1816, 953],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/1.jpg,[1948, 1716],[2410, 1716],[2410, 2402],[1948, 2402],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/18.jpg,[1952, 905],[2380, 905],[2380, 1445],[1952, 1445],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/1.jpg,[1955, 2405],[2461, 2405],[2461, 3206],[1955, 3206],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/3.jpg,[251, 919],[634, 919],[634, 1482],[251, 1482],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/3.jpg,[373, 322],[709, 322],[709, 902],[373, 902],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/21.jpg,[600, 1716],[1035, 1716],[1035, 2385],[600, 2385],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/21.jpg,[604, 2408],[1011, 2408],[1011, 3185],[604, 3185],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/3.jpg,[675, 933],[1069, 933],[1069, 1441],[675, 1441],
X:/Grocery stores/Grocery_products/Training//Food/Jars-Cans/Spreads/3.jpg,[729, 298],[1130, 298],[1130, 926],[729, 926],
