X:/Grocery stores/Grocery_products/Training//Food/Rice/34.jpg,[-107, -34],[488, -34],[488, 620],[-107, 620],
X:/Grocery stores/Grocery_products/Training//Food/Rice/13.jpg,[-183, 1238],[481, 1238],[481, 2091],[-183, 2091],
X:/Grocery stores/Grocery_products/Training//Food/Rice/11.jpg,[1119, -50],[1733, -50],[1733, 624],[1119, 624],
X:/Grocery stores/Grocery_products/Training//Food/Rice/10.jpg,[1129, 1188],[1760, 1188],[1760, 2071],[1129, 2071],
X:/Grocery stores/Grocery_products/Training//Food/Rice/9.jpg,[1464, 2354],[2082, 2354],[2082, 3224],[1464, 3224],
X:/Grocery stores/Grocery_products/Training//Food/Rice/11.jpg,[1733, -74],[2325, -74],[2325, 591],[1733, 591],
X:/Grocery stores/Grocery_products/Training//Food/Rice/10.jpg,[1753, 1192],[2457, 1192],[2457, 2061],[1753, 2061],
X:/Grocery stores/Grocery_products/Training//Food/Rice/22.jpg,[195, 2404],[810, 2404],[810, 3300],[195, 3300],
X:/Grocery stores/Grocery_products/Training//Food/Rice/10.jpg,[501, 1185],[1109, 1185],[1109, 2068],[501, 2068],
X:/Grocery stores/Grocery_products/Training//Food/Rice/11.jpg,[504, -40],[1096, -40],[1096, 634],[504, 634],
X:/Grocery stores/Grocery_products/Training//Food/Rice/22.jpg,[817, 2374],[1464, 2374],[1464, 3260],[817, 3260],
