X:/Grocery stores/Grocery_products/Training//Food/Rice/13.jpg,[-303, 1308],[302, 1308],[302, 2135],[-303, 2135],
X:/Grocery stores/Grocery_products/Training//Food/Rice/17.jpg,[-369, 2437],[478, 2437],[478, 3313],[-369, 3313],
X:/Grocery stores/Grocery_products/Training//Food/Rice/8.jpg,[-419, -17],[235, -17],[235, 760],[-419, 760],
X:/Grocery stores/Grocery_products/Training//Food/Rice/17.jpg,[1135, 2400],[1737, 2400],[1737, 3287],[1135, 3287],
X:/Grocery stores/Grocery_products/Training//Food/Rice/12.jpg,[1458, 1258],[2095, 1258],[2095, 2081],[1458, 2081],
X:/Grocery stores/Grocery_products/Training//Food/Rice/6.jpg,[1468, -47],[2022, -47],[2022, 680],[1468, 680],
X:/Grocery stores/Grocery_products/Training//Food/Rice/32.jpg,[2072, -27],[2640, -27],[2640, 713],[2072, 713],
X:/Grocery stores/Grocery_products/Training//Food/Rice/6.jpg,[275, -57],[870, -57],[870, 770],[275, 770],
X:/Grocery stores/Grocery_products/Training//Food/Rice/12.jpg,[318, 1298],[883, 1298],[883, 2131],[318, 2131],
X:/Grocery stores/Grocery_products/Training//Food/Rice/17.jpg,[514, 2483],[1145, 2483],[1145, 3287],[514, 3287],
X:/Grocery stores/Grocery_products/Training//Food/Rice/6.jpg,[853, -44],[1441, -44],[1441, 730],[853, 730],
X:/Grocery stores/Grocery_products/Training//Food/Rice/12.jpg,[890, 1261],[1471, 1261],[1471, 2111],[890, 2111],
