X:/Grocery stores/Grocery_products/Training//Food/Pasta/28.jpg,[-14, 1264],[589, 1264],[589, 2209],[-14, 2209],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/16.jpg,[-28, -41],[610, -41],[610, 647],[-28, 647],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/19.jpg,[-31, 2375],[440, 2375],[440, 3308],[-31, 3308],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/24.jpg,[1217, 1213],[1691, 1213],[1691, 2111],[1217, 2111],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/62.jpg,[1349, -95],[1997, -95],[1997, 616],[1349, 616],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/61.jpg,[1563, 2525],[2091, 2525],[2091, 3264],[1563, 3264],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/24.jpg,[1654, 1182],[2102, 1182],[2102, 2064],[1654, 2064],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/62.jpg,[2027, -82],[2587, -82],[2587, 593],[2027, 593],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/61.jpg,[2115, 2491],[2515, 2491],[2515, 3236],[2115, 3236],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/19.jpg,[461, 2335],[966, 2335],[966, 3382],[461, 3382],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/62.jpg,[735, -51],[1318, -51],[1318, 643],[735, 643],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/24.jpg,[762, 1233],[1288, 1233],[1288, 2111],[762, 2111],
X:/Grocery stores/Grocery_products/Training//Food/Pasta/61.jpg,[990, 2494],[1498, 2494],[1498, 3240],[990, 3240],
