               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068846,            0.032591,            0.085132,                   0,                   0,                   0,                   0,            0.030144,            0.015692,            0.040487,              0.0775,              0.0025,              0.0025
                   1,             0.04818,            0.030847,            0.084265,            0.001968,             0.14634,           0.0099139,            0.004418,              0.0228,            0.011813,            0.040422,            0.054095,            0.005095,            0.005095
                   2,            0.039459,             0.02494,            0.082513,           0.0030498,             0.67317,            0.016112,           0.0095164,            0.019691,            0.011382,            0.040262,            0.030685,           0.0076848,           0.0076848
                   3,             0.04168,            0.021612,            0.084614,           0.0028028,             0.57561,            0.022511,            0.013948,            0.023954,           0.0087914,                0.04,           0.0099703,           0.0099703,           0.0099703
                   4,            0.040096,            0.018583,            0.082541,           0.0040043,             0.77561,            0.022503,            0.016122,             0.02433,           0.0071278,            0.039945,           0.0099703,           0.0099703,           0.0099703
                   5,            0.034884,            0.017811,            0.081167,           0.0030487,             0.78537,            0.027291,            0.013968,            0.018692,            0.007504,            0.039926,           0.0099604,           0.0099604,           0.0099604
                   6,            0.033705,            0.016266,            0.082632,           0.0039814,             0.87805,            0.027157,             0.02475,             0.01683,           0.0083781,            0.039834,           0.0099505,           0.0099505,           0.0099505
                   7,            0.031357,            0.016401,            0.084105,           0.0033833,             0.85854,            0.030161,            0.020962,            0.015738,           0.0085033,            0.039773,           0.0099406,           0.0099406,           0.0099406
                   8,            0.028236,            0.015684,             0.08219,           0.0028695,             0.78049,            0.014801,           0.0074458,            0.018508,            0.009597,            0.039717,           0.0099307,           0.0099307,           0.0099307
                   9,            0.028469,            0.015414,            0.080686,           0.0045036,             0.85854,             0.02426,            0.019084,            0.012793,           0.0060003,            0.039662,           0.0099208,           0.0099208,           0.0099208
                  10,            0.026322,             0.01476,            0.082681,           0.0046207,             0.82439,            0.021825,            0.015735,           0.0092026,           0.0051529,            0.039706,           0.0099109,           0.0099109,           0.0099109
                  11,            0.024446,             0.01453,            0.080559,           0.0047169,              0.8878,              0.0269,            0.022431,            0.012789,           0.0047758,            0.039745,            0.009901,            0.009901,            0.009901
